,norm,cross_correlation,correlated_snr,chi2,snr_likelihood
00026ce3c5,2.981096746791901e-19,0.0001679086704857772,2.7224994739010237e-20,1.1771097838426223e-74,1.0
0015c81349,3.3728553770838445e-19,-0.0001103776384057608,8.571557471522588e-20,1.8973341836807427e-74,1.0
00176141e9,3.035636067035657e-19,0.0003626033968125812,1.659601724957502e-20,1.10280613321912e-74,1.0
0017ee018a,3.606589993055571e-19,-0.00014930343146018617,3.926435114287332e-20,2.9566032770462892e-74,1.0
001a19d8d7,2.999298362818504e-19,1.147043859450273e-06,3.1098439718701513e-19,1.306149763795784e-74,1.0
0020b7510d,3.9447708984758624e-19,7.59833226088343e-05,6.585655834711861e-20,5.012369126525615e-74,1.0
0021095cf1,3.5772821466008922e-19,0.00021054678884501715,9.931834204037122e-20,2.6820114692537376e-74,1.0
00224cee90,3.3763937191974095e-19,0.0003503653163407307,4.1734820982410727e-20,2.1515912412612296e-74,1.0
0023e45ee3,3.201337149755684e-19,-0.00022095592140731083,1.4509984344798554e-20,1.7243119964402771e-74,1.0
0024a051d7,3.670110806921907e-19,0.00024180424714605823,4.928835598003045e-19,2.5423497341122836e-74,1.0
00261cd6e5,3.1228570852907174e-19,-0.00029874149889824134,1.4396301488213462e-19,1.5759285398328764e-74,1.0
002c474e05,3.3993321119668763e-19,0.0005103116999137637,9.715295986385688e-20,2.7786316903281626e-74,1.0
002db92308,2.773419261102571e-19,3.6621973417707375e-05,4.430133944366733e-19,5.172341062401215e-75,1.0
002f07dd76,3.049489116679514e-19,-0.0001962935181886376,3.8742504419245375e-20,1.276566070630084e-74,1.0
003112824c,3.567545313488718e-19,-4.320666504998861e-05,2.423934270553103e-19,2.5503866194848706e-74,1.0
00343f8804,3.0640181040533827e-19,-0.0002817538949454344,5.159622643190195e-20,1.3694105398944622e-74,1.0
0037cc59e5,3.603115714078541e-19,4.4843568054200443e-05,1.5103127128110354e-19,3.0131169361944574e-74,1.0
0038d163a2,3.213976410794218e-19,-5.7157718172877025e-05,1.8299318903145227e-19,1.7545223553216668e-74,1.0
004122364d,4.189154745870845e-19,-4.920321291912509e-05,2.948166924229889e-19,4.895512317103128e-74,1.0
00418cae9b,2.5356324690123955e-19,-0.0001867441795072273,5.825872657884234e-20,5.263383106387939e-75,1.0
0042bf5979,3.2397179546369514e-19,0.0003303894736372305,1.0358271304166985e-19,1.5699803225434333e-74,1.0
00432ac4e3,4.0023864868135455e-19,6.592637099945214e-05,6.451732072059618e-20,4.5039816981117325e-74,1.0
00433658db,3.172765309847627e-19,0.0003038317581898757,3.416583160122854e-20,1.5215752514323882e-74,1.0
0043aa1fc5,2.6565679555482215e-19,0.00025002890444486195,4.1382983383972607e-20,7.506701494911113e-75,1.0
0044382258,4.0306061058333008e-19,0.0005321842434050475,2.0586448180812288e-19,4.3925126117407376e-74,1.0
0045ce7c88,4.1146177914794536e-19,0.000352960013882756,1.4181532013489905e-19,5.8829252609864285e-74,1.0
00486efa1c,3.614464405807386e-19,8.28936824175036e-05,4.2772485206300654e-19,2.171297043522394e-74,1.0
00578ed373,3.252596716360446e-19,0.00013037708952592968,1.4236496028539645e-19,1.670331481653154e-74,1.0
005a2e20e1,3.951238988433524e-19,-8.062963668433883e-05,2.5813468963756255e-20,3.2047324151566933e-74,1.0
005bda3442,3.104994527605673e-19,-0.00019244247056226664,4.100463196762341e-20,1.4443089303565124e-74,1.0
005eb76142,4.0064676459301266e-19,-0.00020405005231900373,1.234736078739398e-21,4.23077912211401e-74,1.0
005efec0ce,4.719164817619376e-19,0.0001573401521338635,4.788979568444005e-21,1.0362303887974548e-73,1.0
